0.742,2.0715
0.953,1.9991
0.056,2.7593
0.278,2.1659
0.62,2.1595
0.834,2.0021
0.859,1.9713
0.028,2.8217
0.398,2.0838
0.992,1.9636
0.328,2.1211
0.034,2.8108
0.481,2.0697
0.308,2.1502
0.922,1.9673
0.183,2.2872
0.939,2.0151
0.386,1.9995
0.222,2.2872
0.322,2.1438
0.83,1.9615
0.194,2.2517
0.633,2.0137
0.914,2.0783
0.071,2.6636
0.259,2.0861
0.689,2.0596
0.326,2.1868
0.686,1.9807
0.376,2.0834
0.661,1.9566
0.765,1.9496
0.66,2.0672
0.905,2.0374
0.043,2.8013
0.317,2.0604
0.179,2.3348
0.05,2.7085
0.055,2.7149
0.464,1.9674
0.147,2.4056
0.804,1.935
0.699,2.0538
0.005,2.9645
0.701,1.9487
0.387,2.112
0.569,2.0667
0.989,1.9454
0.995,1.9271
0.703,2.0914
0.627,2.0496
0.411,2.0905
0.816,1.9924
0.904,2.0895
0.745,2.0402
0.559,1.9298
0.22,2.2502
0.216,2.3492
0.301,2.0997
0.49,2.091
0.132,2.4866
0.103,2.486
0.395,2.0775
0.427,1.9443
0.004,2.9527
0.432,2.1108
0.672,2.0671
0.968,1.9793
0.782,2.0338
0.662,1.964
0.724,2.0124
0.383,2.1651
0.108,2.5126
0.126,2.4324
0.203,2.2152
0.572,1.9809
0.574,2.0665
0.262,2.2267
0.419,2.0849
0.756,1.9801
0.477,1.9603
0.306,2.1725
0.493,1.9398
0.001,2.9916
0.082,2.5739
0.618,2.0246
0.913,2.0366
0.88,1.9915
0.354,2.1511
0.965,1.9414
0.587,1.9769
0.77,2.0281
0.952,1.9673
0.771,2.103
0.476,1.9996
0.116,2.5042
0.01,3.035
0.841,1.9981
0.993,1.9997
0.677,1.9927
0.526,2.0784
0.928,2.1132
0.437,2.114
0.456,2.0644
0.434,2.0753
0.599,2.1478
0.081,2.5983
0.558,2.0705
0.596,2.0482
0.937,1.9429
0.26,2.1684
0.723,2.021
0.652,1.9923
0.417,2.1228
0.931,2.0313
0.214,2.2757
0.977,2.0008
0.679,2.0684
0.217,2.2761
0.33,2.1478
0.637,1.989
0.249,2.2416
0.175,2.3564
0.487,2.1087
0.671,1.9936
0.512,2.1129
0.439,2.1494
0.826,2.0563
0.046,2.6896
0.34,2.066
0.636,2.0095
0.729,2.0156
0.413,2.0142
0.409,2.0392
0.471,2.0815
0.721,1.9594
0.741,1.9566
0.566,2.0381
0.442,2.1473
0.145,2.405
0.349,2.1115
0.138,2.4151
0.917,2.1002
0.491,2.0496
0.484,2.0501
0.93,2.0191
0.579,2.0114
0.704,1.985
0.673,1.9895
0.991,1.9596
0.84,1.9088
0.901,2.0056
0.591,2.0355
0.814,1.8468
0.943,1.9776
0.389,1.9883
0.095,2.5301
0.653,2.0787
0.319,2.0316
0.696,1.9928
0.806,1.9703
0.017,2.9408
0.474,2.1051
0.894,1.9782
0.159,2.4785
0.608,2.0389
0.46,2.0708
0.473,1.9508
0.068,2.8217
0.221,2.2485
0.129,2.4045
0.612,2.0012
0.793,1.9389
0.265,2.1284
0.59,2.0184
0.683,2.0046
0.694,1.9873
0.626,2.0789
0.719,2.0197
0.731,2.0206
0.424,2.1512
0.544,2.0775
0.535,2.0526
0.935,2.0725
0.304,2.2814
0.823,2.0213
0.447,2.067
0.663,1.9828
0.192,2.3661
0.881,2.0211
0.378,2.0557
0.421,2.252
0.366,2.0517
0.384,2.1631
0.862,2.0156
0.589,2.0062
0.818,2.0272
0.778,2.0453
0.617,1.9497
0.898,2.0309
0.705,2.0678
0.018,2.8292
0.99,1.9741
0.443,2.0216
0.127,2.4636
0.85,2.1476
0.277,2.1886
0.016,2.8555
0.285,2.2032
0.072,2.5283
0.191,2.334
0.092,2.5117
0.468,2.0594
0.176,2.3137
0.295,2.1329
0.139,2.3775
0.234,2.2291
0.489,2.0323
0.575,1.8991
0.292,2.1605
0.038,2.7528
0.948,1.9976
0.647,2.0853
0.25,2.223
0.365,2.0386
0.985,1.9664
0.169,2.3548
0.813,2.0137
