0.82,0.8,8.4303
0.33,0.26,7.9469
0.92,0.7,7.2077
0.1,0.64,6.9303
0.13,0.05,4.9484
0.25,0.22,6.8218
0.39,0.09,7.869
0.32,0.15,7.5065
0.5,0.46,9.8391
0.01,0.31,5.3245
0.01,0.62,6.5112
0.84,0.08,5.2743
0.22,0.29,6.7374
0.06,0.46,5.9265
0.51,0.71,10.881
0.34,0.45,8.8064
0.56,0.52,10.015
0.71,0.22,7.3993
0.35,0.41,8.85
0.79,0.69,8.2386
0.04,0.1,4.4355
0.49,0.46,9.824
0.63,0.77,10.454
0.57,0.6,10.196
0.42,0.33,9.0935
0.15,0.22,5.6523
0.76,0.52,7.9661
0.32,0.18,7.5634
0.72,0.74,9.2826
0.76,0.31,7.0876
0.57,0.06,8.2565
0.15,0.99,8.7857
0.68,0.32,8.1609
0.63,0.99,11.384
0.75,0.51,8.0675
0.75,0.42,7.7087
0.61,0.09,7.9142
0.5,0.51,10.008
0.59,0.81,11.077
0.06,0.12,4.6313
0.52,0.67,10.711
0.65,0.48,9.0538
0.71,0.32,7.6545
0.03,0.97,7.9664
0.47,0.95,11.858
0.77,0.69,8.4524
0.98,0.2,4.7928
0.99,0.63,6.4816
0.64,0.53,9.4387
0.05,0.91,7.6969
0.41,0.4,9.349
0.15,0.73,7.7541
0.98,0.11,4.4953
0.07,0.91,7.8175
0.62,0.47,9.3278
0.77,0.09,5.9894
0,0.93,7.6889
0.85,0.46,6.6714
0.94,0.28,5.2844
0.65,0.54,9.3452
0.58,0.84,11.212
0.9,0.76,7.569
0.28,0.22,7.2847
0.53,0.56,10.229
0.77,0.74,8.5628
0.12,0.26,5.6576
0.1,0.69,7.1561
0.17,0.03,5.0878
0.64,0.85,10.728
0.36,0.67,9.8991
0.33,0.8,10.25
0.54,0.9,11.51
0.18,0.14,5.7206
0.68,0.75,9.7773
0.89,0.68,7.2149
0.19,0.05,5.4924
0.3,0.51,8.5927
0.88,0.02,4.5954
0.3,0.63,9.1042
0.76,0.98,9.8302
0.78,0.56,7.7927
0.54,0.97,11.776
0.92,0.78,7.3928
0.16,0.72,7.792
0.35,0.03,7.1977
0.12,0.72,7.4697
0.94,0.17,4.8883
0.83,0.98,8.9187
0.55,0.59,10.253
0.07,0.62,6.7004
0.27,0.03,6.3871
0.86,0.93,8.4221
0.12,0.33,5.8946
0.21,0.41,7.2234
0.62,0.16,8.0504
0.51,0.6,10.443
0.2,0.7,8.1542
0.88,0.76,7.5641
0.5,0.52,9.9886
0.44,0.58,10.202
0.83,0.68,7.7494
0.05,0.9,7.7535
0.03,0.72,6.9302
1,0.17,4.6557
0.02,0.08,4.2008
0.48,0.31,9.2632
0.23,0.12,6.1943
0.09,0.26,5.4494
0.29,0.33,7.8604
0.39,0.75,10.636
0.51,0.08,8.2705
1,0.76,7.1422
0.62,0.08,7.7167
0.93,0.14,4.8651
0.21,0.82,8.7375
0.7,0.85,9.9628
0.62,0.84,10.758
0.63,0.69,10.196
0.63,0.17,8.0836
0.09,0.59,6.6029
0.99,0.47,5.7722
0.87,0.9,8.1786
0.23,0.79,8.8613
0.77,0.02,5.8541
0.35,0.97,11.057
0.82,0.77,8.2118
0.6,0.69,10.427
0.39,0.68,10.219
0.6,0.65,10.137
0.6,0.25,8.5451
0.2,0.06,5.6215
0.39,0.93,11.24
0.87,0.33,5.9831
0.76,0.67,8.6159
0,0.94,7.6882
0.47,0.3,9.1566
0.98,0.33,5.2938
0.77,0.08,5.9758
0.38,0.6,9.8791
0.39,0.16,8.1895
0.21,0.09,5.7691
0.55,0.48,9.8176
0.23,0.37,7.2706
0.76,0.12,6.3517
0.09,0.44,6.0676
0.67,0.62,9.4406
0.5,0.65,10.5
0.76,0.51,7.8269
0.61,0.04,7.7503
0.94,0.47,5.9435
0.23,0.35,7.1275
0.41,0.56,9.9074
0.39,0.14,8.1637
0.04,0.2,4.8713
0.02,0.68,6.7811
0.14,1,8.7251
0.69,0.85,10.131
1,0.39,5.6199
0.34,0.74,10.14
0.97,0.71,6.923
0.16,0.28,6.0836
0.08,0.83,7.4595
0.82,0.54,7.3092
0.75,0.94,9.8033
0.27,0.52,8.311
0.67,0.41,8.6766
0.65,0.92,10.871
0.74,0.32,7.3674
0.6,0.53,9.7462
0.52,0.94,11.707
0.23,0.86,9.1799
0.34,0.17,7.7177
0.58,0.7,10.603
0.34,0.78,10.232
0.75,0.22,6.9231
0.65,0.26,8.2415
0.36,0.15,7.8615
0.42,0.12,8.1721
0.97,0.69,6.89
0.42,0.41,9.3807
0.84,0.63,7.4115
0.05,0.81,7.4225
0.01,0.42,5.6484
0.23,0.65,8.4857
0.02,0.59,6.4219
0.74,0.22,6.9957
0.31,0.33,8.0906
0.66,0.08,7.4673
0.71,0.82,9.8903
0.53,0.46,9.701
0.22,0.58,7.8582
0.96,0.35,5.438
0.84,0.66,7.5534
0.93,0.85,7.6475
0.71,0.23,7.4812
0.67,0.28,8.1502
0.37,0.42,9.1397
0.8,0.69,8.1893
0.52,0.22,8.9049
0.46,0.75,10.993
0.69,0.69,9.4945
0.89,0.37,5.9255
0.62,0.27,8.5117
0.83,0.2,5.7937
0.34,0.56,9.2826
0.09,0.29,5.5209
0.64,0.98,11.06
0.87,0.55,6.7423
0.21,0.17,6.1754
0.02,0.87,7.526
0.24,0.57,8.1746
0,0.57,6.3589
0.94,0.76,7.1998
0.46,0.27,9.0606
0.76,0.68,8.5505
0.7,0.92,10.329
0.45,0.76,11.023
0.58,0.58,10.098
0.64,0.21,8.0601
0.04,0.23,5.013
0.03,0.9,7.5189
0.63,0.62,9.8964
0.03,0.63,6.5876
0.58,0.49,9.7257
0.65,0.17,7.8702
0.01,0.38,5.5665
0.89,0.02,4.5694
0.34,0.97,10.849
0.39,0.6,9.9105
0.57,1,11.875
0.53,0.34,9.189
0.06,0.74,6.9908
0.17,0.51,7.0899
0.13,0.17,5.369
0.2,0.15,6.0459
0.49,0.18,8.8036
0.31,0.76,9.7706
0.01,0.97,7.846
0.36,0.62,9.7993
0.66,0.05,7.2976
0.75,0.12,6.5122
0.93,0.72,7.0439
0.96,0.94,7.8283
0.05,0.85,7.4523
0.21,0.14,6.01
0.39,0.08,7.8823
0.65,0.55,9.5137
0.65,0.95,11.046
0.01,0.69,6.7238
0.43,0.35,9.1327
0.51,0.1,8.4137
0.9,0,4.39
0.63,0.05,7.4493
0.3,1,10.678
0.77,0.86,9.2203
0.95,0.15,4.6795
0.06,0.73,7.0242
0.32,0.35,8.2797
0.64,0.15,7.8225
0.09,0.78,7.481
0.48,0.95,11.757
0.54,0.18,8.6795
0.68,0.58,9.1216
0.12,0.49,6.4336
0.25,0.03,6.0923
0.75,0,6.0096
0.9,0.47,6.2891
0.98,0.07,4.2795
0.85,0.73,7.7417
0.25,0.01,6.0732
0.29,0.21,7.3331
0.2,0.84,8.7629
0.34,0.67,9.6769
0.26,0.73,9.0885
0.87,0.32,5.7959
0.78,0.54,7.7377
0.45,0.89,11.466
0.72,0.5,8.4773
0.2,0.47,7.3164
0.05,0.68,6.8323
0.46,0.38,9.4902
0.79,0.82,8.717
0.8,0.61,7.9724
0.31,0.92,10.443
0.16,0.33,6.2251
0.41,0.11,8.1215
0.84,0.52,7.0635
0.06,0.67,6.8351
0.65,0.75,10.209
0.33,0.91,10.698
0.6,0.91,11.215
0.82,0.01,5.1303
0.12,0.74,7.4943
0.87,0.13,5.0986
0,0.66,6.536
0.53,0.79,11.097
0.19,0.58,7.571
0.9,0.3,5.4951
0.63,0.9,10.945
0.37,0.39,8.8468
0.52,0.55,10.315
0.62,0.22,8.3206
0.11,0.52,6.5074
0.34,0.21,7.9993
0.49,0.73,10.943
0.2,0.69,8.1244
0.63,0.55,9.6967
0.51,0.87,11.512
0.72,0.23,7.3037
0.96,0.54,6.2637
0.56,0.44,9.6535
0.35,0.99,11.123
0.26,0.56,8.3473
0.31,0.21,7.6159
0.05,0.93,7.8132
0.92,0,4.2734
0.33,0.7,9.7033
0.34,0.04,7.1837
0.96,0.02,4.059
0.32,0.67,9.5625
0.42,0.73,10.74
0.13,0.83,7.9265
0.55,0.76,10.943
0.35,0.49,9.211
0.71,0.14,7.0524
0.62,0.37,9.0112
0.26,0.69,8.9195
0.62,0.83,10.793
0.04,0.3,5.3101
0.34,0.5,9.1198
0.55,0.45,9.6454
0.85,0.41,6.4716
0.43,0.88,11.407
0.63,0.81,10.502
0.46,0.73,10.817
0.56,0.77,10.908
0.28,0.75,9.3582
0.34,0.84,10.442
0.39,0.38,9.1488
0.87,0.91,8.2345
0.81,0.1,5.6548
0.81,0.74,8.1582
0.01,0.3,5.152
0.84,0.38,6.5233
0.56,0.87,11.299
0.33,0.82,10.228
0.66,0.59,9.3748
0.34,0.2,7.853
0.31,0.93,10.356
0.15,0.25,5.7319
0.67,0.96,10.781
0,0.01,4.0486
0.42,0.27,8.8627
0.98,0.39,5.5429
0.87,0.35,6.0383
0.49,0.52,10.178
0.01,0.84,7.4719
0.31,0.67,9.4043
0.08,0.09,4.5515
0.07,0.6,6.5908
0.22,0.15,6.2209
0.31,0.96,10.584
0.28,0.63,8.893
0.41,0.96,11.519
0.56,0.78,10.935
0.57,0.39,9.434
0.95,0.2,5.0055
0.04,0.7,6.8711
0.72,0.79,9.6893
0.29,0.48,8.5718
0.85,0.44,6.5673
0.72,0.82,9.6026
0.81,0.29,6.4677
0.27,0.67,8.9438
0.26,0.11,6.4361
0.59,0.47,9.5509
0.75,0.57,8.2468
0.21,0.24,6.4316
0.48,0.59,10.341
0.69,0.83,9.9314
0.78,0.77,8.662
0.43,0.04,8.0044
